150, PA5-D-Output.txt, 6
76.6341  -37.1834   -9.9843  159.6028  -33.5675  101.9273
  -30.738   -30.736   -31.622   -30.738   -30.736   -31.622   0.000
  21.828   14.286   26.459   21.828   14.286   26.459   0.000
  -38.009   -24.123   -39.907   -38.009   -24.123   -39.907   0.000
  -6.455   6.690   -10.405   -6.455   6.690   -10.405   0.000
  -40.394   -6.313   -40.314   -40.394   -6.313   -40.314   0.000
  -7.288   5.346   -26.965   -7.288   5.346   -26.965   0.000
  -8.960   9.151   -3.829   -8.960   9.151   -3.829   0.000
  -31.626   -9.782   -49.330   -31.626   -9.782   -49.330   0.000
  11.823   24.077   20.566   11.823   24.077   20.566   0.000
  -1.121   5.760   -12.269   -1.121   5.760   -12.269   0.000
  9.879   -16.305   -10.782   9.879   -16.305   -10.782   0.000
  -15.456   7.737   -34.123   -15.456   7.737   -34.123   0.000
  -10.661   6.565   -29.976   -10.661   6.565   -29.976   0.000
  -24.368   2.863   -20.704   -24.368   2.863   -20.704   0.000
  30.162   1.889   -11.823   30.162   1.889   -11.823   0.000
  -38.962   -3.044   -39.354   -38.962   -3.044   -39.354   0.000
  15.457   -6.072   23.372   15.457   -6.072   23.372   0.000
  -26.522   -8.412   -12.312   -26.522   -8.412   -12.312   0.000
  -3.764   21.104   52.831   -3.764   21.104   52.831   0.000
  -2.595   7.281   -11.081   -2.595   7.281   -11.081   0.000
  15.962   -4.659   55.058   15.962   -4.659   55.058   0.000
  -33.478   -26.788   -23.632   -33.478   -26.788   -23.632   0.000
  2.133   16.161   -12.181   2.133   16.161   -12.181   0.000
  -38.303   -1.011   -34.213   -38.303   -1.011   -34.213   0.000
  -7.484   -0.368   45.607   -7.484   -0.368   45.607   0.000
  25.097   9.619   30.891   25.097   9.619   30.891   0.000
  -1.656   -21.077   -17.790   -1.656   -21.077   -17.790   0.000
  -9.398   6.237   26.471   -9.398   6.237   26.471   0.000
  -7.597   8.956   43.933   -7.597   8.956   43.933   0.000
  -39.449   -4.678   -39.704   -39.449   -4.678   -39.704   0.000
  21.966   3.730   56.472   21.966   3.730   56.472   0.000
  5.301   -2.387   -17.064   5.301   -2.387   -17.064   0.000
  17.913   21.176   18.454   17.913   21.176   18.454   0.000
  14.278   19.909   52.787   14.278   19.909   52.787   0.000
  15.202   -6.685   16.458   15.202   -6.685   16.458   0.000
  1.421   13.795   -5.142   1.421   13.795   -5.142   0.000
  -7.621   7.558   44.032   -7.621   7.558   44.032   0.000
  20.864   19.332   0.300   20.864   19.332   0.300   0.000
  -0.534   20.430   5.852   -0.534   20.430   5.852   0.000
  0.125   0.617   -19.540   0.125   0.617   -19.540   0.000
  -34.699   -3.347   -44.216   -34.699   -3.347   -44.216   0.000
  -16.193   6.972   -40.545   -16.193   6.972   -40.545   0.000
  11.770   22.230   -2.258   11.770   22.230   -2.258   0.000
  1.424   -9.448   14.272   1.424   -9.448   14.272   0.000
  28.436   3.256   25.318   28.436   3.256   25.318   0.000
  9.818   24.195   28.695   9.818   24.195   28.695   0.000
  20.822   2.002   58.829   20.822   2.002   58.829   0.000
  -28.295   3.020   -23.598   -28.295   3.020   -23.598   0.000
  8.502   23.647   40.627   8.502   23.647   40.627   0.000
  -35.382   -26.698   -28.447   -35.382   -26.698   -28.447   0.000
  25.564   13.204   13.733   25.564   13.204   13.733   0.000
  7.683   19.464   -18.577   7.683   19.464   -18.577   0.000
  -18.180   -4.678   -0.503   -18.180   -4.678   -0.503   0.000
  16.767   19.123   48.544   16.767   19.123   48.544   0.000
