400, PA5-E-Output.txt, 6
76.6341  -37.1834   -9.9843  159.6028  -33.5675  101.9273
  -11.735   -26.411   -34.364   -11.735   -26.411   -34.364   0.000
  11.720   -8.852   34.933   11.720   -8.852   34.933   0.000
  -1.585   -9.847   33.480   -1.585   -9.847   33.480   0.000
  -10.583   10.122   -5.346   -10.583   10.122   -5.346   0.000
  -2.635   -9.134   -36.598   -2.635   -9.134   -36.598   0.000
  -25.810   -17.605   -6.662   -25.810   -17.605   -6.662   0.000
  -39.624   4.128   -32.497   -39.624   4.128   -32.497   0.000
  -3.601   -15.866   -35.799   -3.601   -15.866   -35.799   0.000
  -6.953   -9.240   36.434   -6.953   -9.240   36.434   0.000
  -36.799   -29.173   -21.445   -36.799   -29.173   -21.445   0.000
  -4.101   -19.282   -6.350   -4.101   -19.282   -6.350   0.000
  -25.872   16.490   9.075   -25.872   16.490   9.075   0.000
  18.827   24.815   0.428   18.827   24.815   0.428   0.000
  -16.457   5.434   33.575   -16.457   5.434   33.575   0.000
  -35.608   -23.512   -43.018   -35.608   -23.512   -43.018   0.000
  18.369   21.540   -29.878   18.369   21.540   -29.878   0.000
  30.132   20.435   -1.225   30.132   20.435   -1.225   0.000
  -8.195   -18.227   -39.637   -8.195   -18.227   -39.637   0.000
  -27.735   8.925   -18.911   -27.735   8.925   -18.911   0.000
  39.404   7.397   11.072   39.404   7.397   11.072   0.000
  24.333   -16.696   -18.075   24.333   -16.696   -18.075   0.000
  17.680   17.884   -33.644   17.680   17.884   -33.644   0.000
  31.904   19.332   2.943   31.904   19.332   2.943   0.000
  -2.454   21.101   28.453   -2.454   21.101   28.453   0.000
  -19.927   -14.903   -47.327   -19.927   -14.903   -47.327   0.000
  -20.797   4.156   16.485   -20.797   4.156   16.485   0.000
  4.722   -10.153   19.706   4.722   -10.153   19.706   0.000
  -9.106   -24.820   -13.511   -9.106   -24.820   -13.511   0.000
  28.801   15.621   -26.223   28.801   15.621   -26.223   0.000
  31.348   14.934   -21.320   31.348   14.934   -21.320   0.000
  21.281   -16.693   -0.914   21.281   -16.693   -0.914   0.000
  37.148   10.901   12.751   37.148   10.901   12.751   0.000
  35.345   -7.376   -16.775   35.345   -7.376   -16.775   0.000
  24.279   1.908   -32.130   24.279   1.908   -32.130   0.000
  7.183   26.390   -0.421   7.183   26.390   -0.421   0.000
  36.297   0.775   16.332   36.297   0.775   16.332   0.000
  26.365   9.773   27.156   26.365   9.773   27.156   0.000
  23.011   9.678   36.085   23.011   9.678   36.085   0.000
  33.699   2.155   -20.594   33.699   2.155   -20.594   0.000
  -30.655   -28.211   -40.142   -30.655   -28.211   -40.142   0.000
  -19.015   3.963   -40.146   -19.015   3.963   -40.146   0.000
  7.363   -16.577   0.343   7.363   -16.577   0.343   0.000
  -44.698   -6.688   -17.569   -44.698   -6.688   -17.569   0.000
  -8.300   -23.514   -34.094   -8.300   -23.514   -34.094   0.000
  -29.764   -30.660   -17.645   -29.764   -30.660   -17.645   0.000
  26.283   -6.260   21.773   26.283   -6.260   21.773   0.000
  24.892   -5.455   -24.088   24.892   -5.455   -24.088   0.000
  7.307   12.080   54.607   7.307   12.080   54.607   0.000
  3.271   -9.627   29.333   3.271   -9.627   29.333   0.000
  27.749   21.506   -10.755   27.749   21.506   -10.755   0.000
  -17.811   -5.191   15.343   -17.811   -5.191   15.343   0.000
  -3.114   19.420   37.005   -3.114   19.420   37.005   0.000
  25.637   -8.797   14.020   25.637   -8.797   14.020   0.000
  33.028   -8.938   2.711   33.028   -8.938   2.711   0.000
  33.582   -8.543   3.996   33.582   -8.543   3.996   0.000
  -28.366   9.832   -26.461   -28.366   9.832   -26.461   0.000
  -25.704   -10.936   -49.704   -25.704   -10.936   -49.704   0.000
  -20.481   -1.850   16.191   -20.481   -1.850   16.191   0.000
  -16.360   -8.251   12.777   -16.360   -8.251   12.777   0.000
  -34.663   7.317   -17.738   -34.663   7.317   -17.738   0.000
  2.654   23.370   17.361   2.654   23.370   17.361   0.000
  24.310   -3.402   35.258   24.310   -3.402   35.258   0.000
  26.250   -3.455   -27.821   26.250   -3.455   -27.821   0.000
  -29.490   -14.435   -47.834   -29.490   -14.435   -47.834   0.000
  26.110   22.801   -2.019   26.110   22.801   -2.019   0.000
  20.238   17.388   -32.631   20.238   17.388   -32.631   0.000
  -12.183   -6.700   -44.047   -12.183   -6.700   -44.047   0.000
  -19.639   -7.234   9.212   -19.639   -7.234   9.212   0.000
