400, PA5-F-Output.txt, 6
76.6341  -37.1834   -9.9843  159.6028  -33.5675  101.9273
  -4.829   -8.866   -43.948   -4.829   -8.866   -43.948   0.000
  19.228   -15.268   -2.431   19.228   -15.268   -2.431   0.000
  -3.421   24.331   12.501   -3.421   24.331   12.501   0.000
  -0.390   10.545   -12.932   -0.390   10.545   -12.932   0.000
  -21.286   -15.469   -43.227   -21.286   -15.469   -43.227   0.000
  -5.796   -20.853   -10.238   -5.796   -20.853   -10.238   0.000
  32.319   16.256   -21.250   32.319   16.256   -21.250   0.000
  -6.757   -7.477   37.280   -6.757   -7.477   37.280   0.000
  -3.243   -13.123   11.778   -3.243   -13.123   11.778   0.000
  32.504   -3.950   15.608   32.504   -3.950   15.608   0.000
  -20.900   -16.069   -43.267   -20.900   -16.069   -43.267   0.000
  -7.527   13.272   63.112   -7.527   13.272   63.112   0.000
  14.777   -10.715   17.855   14.777   -10.715   17.855   0.000
  -0.307   25.034   18.344   -0.307   25.034   18.344   0.000
  35.700   -13.371   -6.625   35.700   -13.371   -6.625   0.000
  2.701   -10.364   -32.680   2.701   -10.364   -32.680   0.000
  23.978   17.553   17.974   23.978   17.553   17.974   0.000
  -9.999   -5.727   57.025   -9.999   -5.727   57.025   0.000
  -10.238   8.624   -4.323   -10.238   8.624   -4.323   0.000
  -5.656   -9.512   -44.233   -5.656   -9.512   -44.233   0.000
  -9.090   23.084   39.868   -9.090   23.084   39.868   0.000
  -8.670   0.464   -40.155   -8.670   0.464   -40.155   0.000
  4.013   -5.406   65.474   4.013   -5.406   65.474   0.000
  -10.219   -5.599   54.348   -10.219   -5.599   54.348   0.000
  -12.067   -16.733   -44.703   -12.067   -16.733   -44.703   0.000
  -11.109   8.753   63.368   -11.109   8.753   63.368   0.000
  -12.102   -14.144   -45.523   -12.102   -14.144   -45.523   0.000
  -3.771   -21.766   -14.063   -3.771   -21.766   -14.063   0.000
  36.093   -11.405   -1.488   36.093   -11.405   -1.488   0.000
  -6.888   -1.735   63.549   -6.888   -1.735   63.549   0.000
  14.160   15.690   -34.847   14.160   15.690   -34.847   0.000
  -14.689   -14.717   -43.690   -14.689   -14.717   -43.690   0.000
  -16.500   -0.366   -41.681   -16.500   -0.366   -41.681   0.000
  29.545   20.197   -12.889   29.545   20.197   -12.889   0.000
