150, PA5-A-Output.txt, 6
76.6341  -37.1834   -9.9843  159.6028  -33.5675  101.9273
  12.162   -16.639   -11.604   12.162   -16.639   -11.604   0.000
  -10.868   -9.223   9.680   -10.868   -9.223   9.680   0.000
  -11.742   -3.040   -42.814   -11.742   -3.040   -42.814   0.000
  -13.148   8.410   -7.845   -13.148   8.410   -7.845   0.000
  23.960   -12.839   -6.197   23.960   -12.839   -6.197   0.000
  -9.026   12.358   58.380   -9.026   12.358   58.380   0.000
  17.424   -2.009   66.250   17.424   -2.009   66.250   0.000
  30.597   -9.826   12.407   30.597   -9.826   12.407   0.000
  -33.711   4.687   -25.686   -33.711   4.687   -25.686   0.000
  11.054   23.562   11.077   11.054   23.562   11.077   0.000
  8.275   23.083   17.159   8.275   23.083   17.159   0.000
  -29.700   -26.133   -22.972   -29.700   -26.133   -22.972   0.000
  -32.204   3.765   -30.651   -32.204   3.765   -30.651   0.000
  -3.613   -3.437   65.353   -3.613   -3.437   65.353   0.000
  14.294   -13.394   -20.618   14.294   -13.394   -20.618   0.000
  -13.414   9.254   -24.088   -13.414   9.254   -24.088   0.000
  25.254   -13.807   -28.773   25.254   -13.807   -28.773   0.000
  -6.680   -11.407   1.882   -6.680   -11.407   1.882   0.000
  16.229   20.742   62.017   16.229   20.742   62.017   0.000
  -30.846   -7.836   -8.868   -30.846   -7.836   -8.868   0.000
  31.232   12.380   -19.105   31.232   12.380   -19.105   0.000
  24.191   21.683   -3.759   24.191   21.683   -3.759   0.000
  -3.858   -17.565   -39.302   -3.858   -17.565   -39.302   0.000
  -7.281   -11.124   3.755   -7.281   -11.124   3.755   0.000
  33.247   -10.757   -18.134   33.247   -10.757   -18.134   0.000
  21.089   19.878   17.090   21.089   19.878   17.090   0.000
  -4.787   -21.022   -36.288   -4.787   -21.022   -36.288   0.000
  -4.329   5.870   -24.258   -4.329   5.870   -24.258   0.000
  -19.866   -24.202   -9.916   -19.866   -24.202   -9.916   0.000
  26.165   14.411   36.923   26.165   14.411   36.923   0.000
  29.538   7.331   -26.273   29.538   7.331   -26.273   0.000
  -39.659   -16.789   -33.637   -39.659   -16.789   -33.637   0.000
  26.900   10.974   51.965   26.900   10.974   51.965   0.000
  38.821   5.578   -7.991   38.821   5.578   -7.991   0.000
  20.442   18.486   51.885   20.442   18.486   51.885   0.000
  23.335   -17.367   -23.202   23.335   -17.367   -23.202   0.000
  -21.341   16.658   22.365   -21.341   16.658   22.365   0.000
  10.626   -7.785   7.795   10.626   -7.785   7.795   0.000
  26.306   21.136   2.349   26.306   21.136   2.349   0.000
  1.199   21.374   57.140   1.199   21.374   57.140   0.000
  41.219   -0.075   -14.134   41.219   -0.075   -14.134   0.000
  -27.486   -25.285   -35.954   -27.486   -25.285   -35.954   0.000
  24.813   -2.846   45.211   24.813   -2.846   45.211   0.000
  -10.581   -11.171   -44.672   -10.581   -11.171   -44.672   0.000
  -37.434   -1.811   -19.646   -37.434   -1.811   -19.646   0.000
  5.819   -13.119   -21.468   5.819   -13.119   -21.468   0.000
  30.876   18.864   -2.165   30.876   18.864   -2.165   0.000
  12.655   -16.885   -9.966   12.655   -16.885   -9.966   0.000
  24.724   -14.476   -7.899   24.724   -14.476   -7.899   0.000
  -6.892   19.692   6.834   -6.892   19.692   6.834   0.000
  -7.010   23.291   12.700   -7.010   23.291   12.700   0.000
  -11.254   -13.441   -6.789   -11.254   -13.441   -6.789   0.000
