150, PA5-C-Output.txt, 6
76.6341  -37.1834   -9.9843  159.6028  -33.5675  101.9273
  44.813   3.617   -3.410   44.813   3.617   -3.410   0.000
  16.977   11.775   -17.315   16.977   11.775   -17.315   0.000
  10.739   7.992   61.269   10.739   7.992   61.269   0.000
  2.526   -6.232   62.121   2.526   -6.232   62.121   0.000
  11.882   -11.364   -19.696   11.882   -11.364   -19.696   0.000
  9.851   14.333   62.941   9.851   14.333   62.941   0.000
  14.018   23.543   4.008   14.018   23.543   4.008   0.000
  16.451   -6.872   -21.415   16.451   -6.872   -21.415   0.000
  12.351   19.452   -17.600   12.351   19.452   -17.600   0.000
  41.050   11.794   0.339   41.050   11.794   0.339   0.000
  -16.013   -20.630   -12.024   -16.013   -20.630   -12.024   0.000
  -35.247   -1.799   -12.331   -35.247   -1.799   -12.331   0.000
  -38.530   0.415   -38.239   -38.530   0.415   -38.239   0.000
  13.190   -5.643   35.336   13.190   -5.643   35.336   0.000
  -4.480   -5.065   62.461   -4.480   -5.065   62.461   0.000
  -20.877   -0.320   -9.107   -20.877   -0.320   -9.107   0.000
  -12.436   -23.327   -17.951   -12.436   -23.327   -17.951   0.000
  12.274   16.109   63.405   12.274   16.109   63.405   0.000
  6.264   -8.070   19.036   6.264   -8.070   19.036   0.000
  -36.937   6.087   -24.879   -36.937   6.087   -24.879   0.000
  16.362   -12.922   -15.984   16.362   -12.922   -15.984   0.000
  25.826   -2.142   -23.391   25.826   -2.142   -23.391   0.000
  -0.967   19.049   39.804   -0.967   19.049   39.804   0.000
  -7.341   -23.442   -35.473   -7.341   -23.442   -35.473   0.000
  31.288   22.602   -2.369   31.288   22.602   -2.369   0.000
  -11.129   -12.552   -3.747   -11.129   -12.552   -3.747   0.000
  -44.229   -10.603   -24.044   -44.229   -10.603   -24.044   0.000
  14.601   -3.099   54.139   14.601   -3.099   54.139   0.000
  -16.824   5.841   -19.511   -16.824   5.841   -19.511   0.000
  -11.168   8.027   35.557   -11.168   8.027   35.557   0.000
  -15.706   -7.035   6.778   -15.706   -7.035   6.778   0.000
  -9.280   8.710   -4.882   -9.280   8.710   -4.882   0.000
  -1.886   -1.250   -29.321   -1.886   -1.250   -29.321   0.000
  -10.818   2.658   -38.684   -10.818   2.658   -38.684   0.000
  38.045   -6.061   -18.382   38.045   -6.061   -18.382   0.000
  20.294   -3.655   29.741   20.294   -3.655   29.741   0.000
  9.464   24.014   0.921   9.464   24.014   0.921   0.000
  -10.285   -9.266   11.740   -10.285   -9.266   11.740   0.000
  -43.250   -16.074   -35.885   -43.250   -16.074   -35.885   0.000
  28.516   5.223   27.935   28.516   5.223   27.935   0.000
  37.527   9.480   12.942   37.527   9.480   12.942   0.000
  -6.439   -18.877   -37.348   -6.439   -18.877   -37.348   0.000
  -44.118   -4.471   -24.683   -44.118   -4.471   -24.683   0.000
  -15.753   -7.066   6.577   -15.753   -7.066   6.577   0.000
  -43.341   -14.414   -21.264   -43.341   -14.414   -21.264   0.000
  32.616   1.232   21.526   32.616   1.232   21.526   0.000
  -15.662   -1.425   16.421   -15.662   -1.425   16.421   0.000
  11.083   25.771   -6.937   11.083   25.771   -6.937   0.000
  -13.778   -0.158   25.095   -13.778   -0.158   25.095   0.000
  -28.550   -13.574   -9.510   -28.550   -13.574   -9.510   0.000
  43.140   6.747   10.523   43.140   6.747   10.523   0.000
  -38.300   -23.467   -23.863   -38.300   -23.467   -23.863   0.000
  15.179   22.197   -19.662   15.179   22.197   -19.662   0.000
