150, PA5-B-Output.txt, 6
76.6341  -37.1834   -9.9843  159.6028  -33.5675  101.9273
  -28.306   -5.047   -42.632   -28.306   -5.047   -42.632   0.000
  -25.778   0.971   -11.787   -25.778   0.971   -11.787   0.000
  -13.303   -2.620   -43.600   -13.303   -2.620   -43.600   0.000
  20.861   1.032   47.071   20.861   1.032   47.071   0.000
  -16.547   7.152   -13.844   -16.547   7.152   -13.844   0.000
  -12.295   10.783   -22.108   -12.295   10.783   -22.108   0.000
  -3.503   -22.134   -36.463   -3.503   -22.134   -36.463   0.000
  35.156   11.697   -27.781   35.156   11.697   -27.781   0.000
  -13.345   12.267   59.215   -13.345   12.267   59.215   0.000
  -40.431   -9.366   -18.093   -40.431   -9.366   -18.093   0.000
  -37.581   -18.988   -27.292   -37.581   -18.988   -27.292   0.000
  21.759   -12.116   8.882   21.759   -12.116   8.882   0.000
  -9.936   -19.768   -9.696   -9.936   -19.768   -9.696   0.000
  5.326   -10.151   56.938   5.326   -10.151   56.938   0.000
  -29.651   -15.981   -42.278   -29.651   -15.981   -42.278   0.000
  -23.177   -23.932   -39.411   -23.177   -23.932   -39.411   0.000
  8.769   23.544   -2.217   8.769   23.544   -2.217   0.000
  -12.808   -16.587   -5.718   -12.808   -16.587   -5.718   0.000
  23.359   13.582   29.525   23.359   13.582   29.525   0.000
  28.182   -10.338   7.657   28.182   -10.338   7.657   0.000
  -3.474   -23.606   -28.655   -3.474   -23.606   -28.655   0.000
  -40.575   -13.193   -18.684   -40.575   -13.193   -18.684   0.000
  40.914   13.554   2.048   40.914   13.554   2.048   0.000
  25.293   19.707   3.034   25.293   19.707   3.034   0.000
  22.910   -17.257   -4.778   22.910   -17.257   -4.778   0.000
  -26.180   -22.824   -40.463   -26.180   -22.824   -40.463   0.000
  11.771   20.554   58.315   11.771   20.554   58.315   0.000
  -8.573   -26.345   -33.457   -8.573   -26.345   -33.457   0.000
  -21.094   0.668   5.271   -21.094   0.668   5.271   0.000
  12.088   12.393   -25.841   12.088   12.393   -25.841   0.000
  35.406   -13.598   -24.837   35.406   -13.598   -24.837   0.000
  -9.326   -9.654   -44.091   -9.326   -9.654   -44.091   0.000
  16.823   -8.522   36.373   16.823   -8.522   36.373   0.000
  -35.062   -21.833   -30.624   -35.062   -21.833   -30.624   0.000
  31.301   9.654   15.970   31.301   9.654   15.970   0.000
  25.539   21.516   -32.308   25.539   21.516   -32.308   0.000
  -5.808   19.196   49.042   -5.808   19.196   49.042   0.000
  -10.536   18.006   43.323   -10.536   18.006   43.323   0.000
  -21.214   -31.931   -23.585   -21.214   -31.931   -23.585   0.000
  -36.263   3.714   -26.508   -36.263   3.714   -26.508   0.000
  13.794   -16.717   -24.681   13.794   -16.717   -24.681   0.000
  -9.982   -13.439   -0.734   -9.982   -13.439   -0.734   0.000
  -30.299   -26.371   -32.606   -30.299   -26.371   -32.606   0.000
  -9.378   -24.752   -37.479   -9.378   -24.752   -37.479   0.000
  -38.602   -17.223   -23.102   -38.602   -17.223   -23.102   0.000
  -37.939   -7.107   -12.836   -37.939   -7.107   -12.836   0.000
  -31.202   -26.278   -31.061   -31.202   -26.278   -31.061   0.000
  37.756   6.436   -20.976   37.756   6.436   -20.976   0.000
  -5.732   -18.460   -7.514   -5.732   -18.460   -7.514   0.000
  33.628   10.913   10.661   33.628   10.913   10.661   0.000
  -7.445   7.460   -24.586   -7.445   7.460   -24.586   0.000
  -16.531   -16.169   -4.304   -16.531   -16.169   -4.304   0.000
  -28.210   -25.387   -12.779   -28.210   -25.387   -12.779   0.000
  -2.804   -2.446   -39.465   -2.804   -2.446   -39.465   0.000
  24.540   12.841   -39.412   24.540   12.841   -39.412   0.000
